Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,MACD,Signal_Line,Signal,Position,Return,Strategy_Return,Cumulative_Market_Return,Cumulative_Strategy_Return
Ticker,,,,,,,,,,,0,0,0.0,0.0,1.0,1.0
Date,,,,,,,,,,,0,0,0.0,0.0,1.0,1.0
2025-04-21,950.6994018554688,962.3420166432836,942.2634427629204,949.170085798879,34247298.0,,,,0.0,0.0,0,0,0.0,0.0,1.0,1.0
2025-04-22,967.7686767578124,972.1593405008402,954.5967457498784,954.5967457498784,45961750.0,,,,1.3616515591612597,0.2723303118322519,0,0,0.017954439509512365,0.0,1.0179544395095124,1.0
2025-04-23,949.1207275390624,976.2539669757358,947.4433879660209,976.2539669757358,30570642.0,,,,0.9253694919467534,0.4029381478551522,0,0,-0.01926901507209733,-0.0,0.9983394600718952,1.0
2025-04-24,945.6181030273438,949.1207455952106,939.8460867592294,942.2634238174406,25931754.0,,,,0.2935958942832712,0.3810696971407761,0,0,-0.0036903888094409476,-0.0,0.9946551993004226,1.0
2025-04-25,942.8554077148438,953.6100615716746,933.2848220611924,949.5647662059754,18500878.0,,,,-0.4251151931372305,0.2198327190851748,0,0,-0.002921576166589168,-0.0,0.9917492383761725,1.0
2025-04-28,947.29541015625,951.982060830828,941.4741328194632,942.8554253066496,13920492.0,,,,-0.629175078917001,0.0500311594847396,0,0,0.004709102164633272,0.0,0.996419486861383,1.0
2025-04-29,941.6714477539062,951.5380804410966,937.4287475214968,946.6047640975014,18918308.0,,,,-1.23051614883002,-0.2060783021782123,0,0,-0.005936862294536049,-0.0,0.9905038815802948,1.0
2025-04-30,949.6633911132812,955.5340495753018,942.4114402150566,943.7434115323152,31936870.0,,,,-1.0500953954630177,-0.3748817208351733,0,0,0.008486976406088864,0.0,0.9989102646534062,1.0
2025-05-02,948.1341552734376,958.0007887427043,947.1968130496268,952.0314875380284,17840404.0,,,,-1.0187635286763452,-0.5036580824034078,0,0,-0.0016102925038006255,-0.0,0.9973017269422653,1.0
2025-05-05,955.4847412109376,962.9833580251332,953.2647488384408,956.57004672681,15068024.0,,,,-0.396234401237507,-0.4821733461702276,0,0,0.007752685520943103,0.0,1.0050334936007421,1.0
2025-05-06,952.9686889648438,957.112686715781,949.318083066804,952.1300492793256,17490156.0,,,,-0.1046931341149957,-0.4066773037591812,0,0,-0.002633273078652354,-0.0,1.0023869659588993,1.0
2025-05-07,959.8260498046876,961.355365881208,948.3807795701132,954.1034146874002,21420778.0,55.82861878289376,,,0.6719414086506958,-0.1909535612772058,0,0,0.007195788192466912,0.0,1.0095999302528291,1.0
2025-05-08,951.3900756835938,964.364722012384,946.752746184645,964.364722012384,34803430.0,50.39818543421073,,,0.5998031130249046,-0.0328022264167837,0,0,-0.00878906560497128,-0.0,1.0007264902310626,1.0
2025-05-09,932.248779296875,946.7034204881496,930.8181657127636,942.3127568324844,17188796.0,41.28610359878631,,,-0.9904918800727956,-0.2243401571479861,0,0,-0.020119293732347665,-0.0,0.9805925800283626,1.0
2025-05-12,965.5487060546876,966.880737676539,943.398162578518,946.0127842578852,18618972.0,55.334994340267286,,,0.4312425747340285,-0.0932236107715832,0,0,0.035720000387587714,0.0,1.0156193473670414,1.0
2025-05-13,948.4793701171876,967.7686246091652,947.1967199365026,961.9966686855104,24242102.0,43.06982366026014,,,0.1785662172494539,-0.0388656451673758,0,0,-0.017678378967796227,-0.0,0.9976648436572609,1.0
2025-05-14,942.5594482421876,952.2287366384548,938.8101397074493,948.2327622761528,15445308.0,47.405397160080575,,,-0.4936790126002961,-0.1298283186539598,0,0,-0.006241487228413334,-0.0,0.9914379312773371,1.0
2025-05-15,954.0047607421876,959.4314088460198,935.85013208818,943.9901042439284,32241458.0,53.12041697910884,,,-0.1017245173246692,-0.1242075583881017,0,0,0.012142801731333419,0.0,1.0034767655057613,1.0
2025-05-16,954.44873046875,958.9380967138302,951.340777169636,954.0047801554118,15868010.0,54.389252737491496,,,0.2419379801506238,-0.0509784506803566,0,0,0.00046537474951069413,0.0,1.0039437582541484,1.0
2025-05-19,956.4220581054688,959.5300716290252,952.6234284399216,955.5834183781088,10202964.0,53.52113206711887,950.8104064941406,,0.6658485462852468,0.092386948712764,0,0,0.0020675051196825667,0.0,1.0060194171142123,1.0
2025-05-20,944.6807861328124,954.3993955236706,943.7434439560598,951.1927398071444,23879090.0,51.108693569734655,950.5094757080078,,0.0537585071610919,0.0846612604024296,0,0,-0.012276245485088544,-0.0,0.9936692757869525,1.0
2025-05-21,950.5514526367188,960.4674068130724,947.739426083267,950.6500948788124,15132040.0,50.33237268869632,949.6486145019531,,0.0419034283055452,0.0761096939830527,0,0,0.006214444699292221,0.0,0.9998443785507163,1.0
2025-05-22,947.1474609375,949.2687509312964,939.895449442171,944.828766015395,21306670.0,49.635822816063225,949.549951171875,,-0.239405768209167,0.0130066015446088,0,0,-0.003581070429987232,-0.0,0.9962638654120993,1.0
2025-05-23,953.9060668945312,955.583406549638,944.4834444188342,947.246089616049,9566072.0,49.41477266299364,949.9643493652344,,0.0820716130676828,0.0268196038492236,0,0,0.007135748376859485,0.0,1.0033729536726375,1.0
2025-05-26,957.1619873046876,961.9473401627192,950.6007128758196,954.596686963064,10802860.0,51.54600897321137,950.6796783447264,,0.592737609885944,0.1400032050565677,0,0,0.0034132505528097212,0.0,1.0067977169614348,1.0
2025-05-27,950.3047485351562,961.0100208805312,945.3714322062008,952.9193700568148,26162148.0,46.48962958129024,950.830145263672,,0.4390610091412554,0.1998147658735052,0,0,-0.007164136123751552,-0.0,0.9995848810680408,1.0
2025-05-28,948.9234008789062,954.3500488693757,946.0620533045636,947.2953823933068,18157594.0,49.04066822322089,951.192742919922,,0.2034625942798129,0.2005443315547668,0,0,-0.0014535838723096495,-0.0,0.9981319006059157,1.0
2025-05-29,950.896728515625,957.4580633637506,940.9314535555671,951.1433943336576,28917794.0,58.37025404885914,951.2544097900392,,0.1739747292203901,0.1952304110878915,0,0,0.0020795436543044055,0.0,1.0002075594659796,1.0
2025-05-30,959.480712890625,961.4047183192448,949.8607459686727,953.0674016093236,28748078.0,46.49970143704542,951.8217376708984,,0.8336513693678853,0.3229146027438903,0,0,0.009027251979717876,0.0,1.0092366851372976,1.0
2025-06-02,953.166015625,955.09002099665,941.2767355690124,952.1793523801688,14668822.0,53.08642273050286,951.7058013916017,,0.8372552073324186,0.425782723661596,0,0,-0.006581369672977289,-0.0,1.002594525424879,1.0
2025-06-03,949.466064453125,962.9833634640112,947.1967509482078,956.0767204883472,24377584.0,54.68539865513919,951.5306701660156,,0.5353845571856937,0.4477030903664155,0,0,-0.0038817489411315798,-0.0,0.9987027051874265,1.0
2025-06-04,957.6553344726562,958.6913790708478,947.6407385330224,947.690059651711,12961542.0,52.59098623910829,951.422134399414,,0.9460500658117326,0.547372485455479,0,0,0.008625131877934011,0.0,1.0073166477265176,1.0
2025-06-05,961.79931640625,966.3873245707182,957.1619871239031,961.0099978567569,22255418.0,54.95672659803724,951.9425964355468,,1.587589406978509,0.755415869760085,0,0,0.004327216467577832,0.0,1.011675524912625,1.0
2025-06-06,976.1552734375,984.8379583134906,958.3953347348496,959.036689943126,30127008.0,61.40250022747931,954.137921142578,,3.2173323074569,1.247799157299448,0,0,0.014926146012341546,0.0,1.0267759415145832,1.0
2025-06-09,976.2540283203124,984.1966559557252,974.7740333489504,984.1966559557252,13202588.0,71.08039381886934,954.6731872558594,,4.465409530022384,1.8913212318440356,-1,-1,0.00010116718671682179,0.0,1.0268798175479747,1.0
2025-06-10,969.5447387695312,978.1780428487654,967.472709657825,978.1780428487654,15533126.0,62.54074312887886,955.7264556884766,,4.857145970659417,2.484486179607112,0,-1,-0.006872483345676694,0.006872483345676694,1.0198226031038649,1.0068724833456768
2025-06-11,962.1940307617188,970.6793107759778,960.516691162301,970.6793107759778,11096394.0,59.44269908063887,956.7081848144531,,4.522328628989385,2.8920546694835663,0,-1,-0.007581607855601802,0.007581607855601802,1.0120907080448522,1.0145061956749999
2025-06-12,958.74072265625,967.4233474890254,954.7447484104944,961.9966994408974,16349130.0,53.165378445967065,956.9449829101562,,3.932993271643568,3.1002423899155667,0,-1,-0.0035889934826710546,0.0035889934826710546,1.0084583210898073,1.0181472517994068
2025-06-13,946.0127563476562,953.6100757725884,943.7434428106372,947.19676434732,12117762.0,43.50579031981671,956.5231842041017,,2.4111065109674428,2.962415214125942,0,-1,-0.01327571261741145,0.01327571261741145,0.9950703182323818,1.031663882116503
2025-06-16,954.7940673828124,956.520728121515,947.2460692080248,949.1700746468088,16513746.0,52.55761261208001,956.4417846679688,,1.8917715359092424,2.748286478482602,0,-1,0.009282444635375642,-0.009282444635375642,1.0043070033696795,1.0220875192484398
